MGI:103185	Uimc1
MGI:103187	Nqo1
MGI:103188	Nfib
MGI:103189	Mmp7
MGI:103198	Cdc25a
MGI:103199	Mcm4
MGI:103201	Aqp1
MGI:103215	Ssic1
MGI:103219	Meox2
MGI:103220	Meox1
MGI:103222	Zbtb16
MGI:103223	Vhl
MGI:103227	Cmah
MGI:103232	Grb10
MGI:103234	Herc2
MGI:103236	Efna1
MGI:103239	Tfap4
MGI:103248	Phc1
MGI:103251	Acly
MGI:103253	Cyb561
MGI:103257	Inpp5b
MGI:103258	Adad1
MGI:103262	Yap1
MGI:103263	Mcf2l
MGI:103265	Frk
MGI:103266	Fgl2
MGI:103267	Eif4ebp1
MGI:103270	Tfeb
MGI:103275	Rapop1
MGI:103285	Atp6v1b1
MGI:103289	Relb
MGI:103290	Rela
MGI:103291	Rai1
MGI:103293	Ptpn13
MGI:103294	Prg2
MGI:103295	Pon1
MGI:103296	Nfatc3
MGI:103297	Atp7b
MGI:103298	Apobec1
MGI:103300	Rbl1
MGI:103301	Cacnb4
MGI:103302	Bmp7
MGI:103306	Tiam1
MGI:103307	Cacnb3
MGI:103309	Flot2
MGI:103555	Clcn3
MGI:103556	Cxcl12
MGI:103557	Xpc
MGI:103559	Sox18
MGI:103560	Kpna1
MGI:103562	Hsd11b1
MGI:103567	Cxcr5
MGI:103572	Cebpe
MGI:103573	Cebpd
MGI:103574	Amph
MGI:103576	Ccl11
MGI:103577	Hand1
MGI:103579	Madcam1
MGI:103580	Hand2
MGI:103581	Musk
MGI:103582	Ercc5
MGI:103583	Del(1)3H
MGI:103782	In(4)56Rk
MGI:103967	T(7;15)9H
MGI:103975	T(7;18)50H
MGI:103976	T(7;18)50H
MGI:103979	T(7;19)145H
MGI:103980	T(7;19)145H
MGI:103988	In(8)34Rk
MGI:104042	T(9;17)138Ca
MGI:104044	Del(10)1H
MGI:104097	In(11)20Rk
MGI:104137	Del(13)36H
MGI:104172	T(14;15)6Ca
MGI:104184	In(15)35Rk
MGI:104215	T(16;17)43H
MGI:104229	Is(17;In2)1Gso
MGI:104231	Is(17;In2)1Gso
MGI:104285	Del(Y<RIII>)2Psb
MGI:104286	Tp(Y)1Ct
MGI:104287	In(YLS)Lub
MGI:104288	Pms2
MGI:104294	Tyro3
MGI:104295	Sla
MGI:104296	Nova2
MGI:104297	Nova1
MGI:104311	Ptger4
MGI:104327	Nog
MGI:104328	Rhbdf1
MGI:104336	Cryba2
MGI:104510	Myo7a
MGI:104511	Tnfsf4
MGI:104512	Tnfrsf4
MGI:104513	Nqo2
MGI:104515	Bmp8a
MGI:104517	Xrcc5
MGI:104518	Cntn2
MGI:104528	S100g
MGI:104532	Mgat3
MGI:104535	Pemt
MGI:104537	Brca1
MGI:104539	Apof
MGI:104540	Clec3b
MGI:104541	Gcdh
MGI:104552	Tns1
MGI:104554	Mitf
MGI:104555	Mafb
MGI:104556	Cdkn1a
MGI:104557	Rps6ka3
MGI:104562	Napb
MGI:104563	Napa
MGI:104564	Cdkn1c
MGI:104565	Cdkn1b
MGI:104568	Hcls1
MGI:104571	Clcn4-2
MGI:104572	Limk1
MGI:104574	Ptprj
MGI:104579	Il12rb1
MGI:104580	Rapgef1
MGI:104583	Eps15
MGI:104591	Nbl1
MGI:104593	Xcl1
MGI:104596	Procr
MGI:104597	Tnnt2
MGI:104615	Cnr1
MGI:104616	Ccr3
MGI:104617	Ccr1l1
MGI:104618	Ccr1
MGI:104621	Alx1
MGI:104626	Strbp
MGI:104627	Dst
MGI:104628	Penk-rs
MGI:104629	Penk
MGI:104631	Utrn
MGI:104634	Tle3
MGI:104637	Tgfbr3
MGI:104638	Tff3
MGI:104641	Ptx3
MGI:104642	Pla2g2a
MGI:104643	Pdcd2
MGI:104644	Il15ra
MGI:104649	Cox6a2
MGI:104650	Cnr2
MGI:104652	Capzb
MGI:104653	Atp2b1
MGI:104654	Atoh1
MGI:104655	Ambn
MGI:104658	T2
MGI:104659	Dll1
MGI:104661	Rora
MGI:104662	Pml
MGI:104663	Lep
MGI:104664	Tcf15
MGI:104665	Soat1
MGI:104667	Hmmr
MGI:104669	Man2a1
MGI:104670	Fkbp5
MGI:104671	Tfap2a
MGI:104672	Tfap2b
MGI:104673	Ptpn12
MGI:104676	Man1a2
MGI:104681	Hgs
MGI:104684	Eps8
MGI:104685	Twist2
MGI:104686	Crkl
MGI:104687	Col4a4
MGI:104688	Col4a3
MGI:104694	Ncan
MGI:104695	Scnn1g
MGI:104696	Scnn1b
MGI:104697	Muc5ac
MGI:104698	Lim2
MGI:104708	Cct3
MGI:104713	Olfr6
MGI:104716	Nnat
MGI:104717	Meis1
MGI:104719	Ndst1
MGI:104720	Hsd11b2
MGI:104723	Fgf9
MGI:104725	Atn1
MGI:104726	Cplx2
MGI:104727	Cplx1
MGI:104728	Caml
MGI:104729	Akap1
MGI:104733	Bhr3
MGI:104734	Bhr2
MGI:104735	Gt(ROSA)26Sor
MGI:104737	Cdkn2b
MGI:104738	Cdkn2a
MGI:104739	Bhr1
MGI:104740	Ppara
MGI:104741	Nfkbia
MGI:104742	Kcnj3
MGI:104744	Kcnj2
MGI:104745	Sez6
MGI:104747	Pkia
MGI:104748	Peg3
MGI:104749	Osm
MGI:104750	Nrcam
MGI:104752	Nfkbib
MGI:104753	Nfasc
MGI:104754	Sik1
MGI:104755	Kcnj5
MGI:104756	Itga9
MGI:104757	Ephb4
MGI:104767	Gpx4
MGI:104768	Gast
MGI:104769	Fkbp10
MGI:104770	Ephb3
MGI:104771	Erbb4
MGI:104772	Cdk2
MGI:104773	Adra1a
MGI:104774	Adra1b
MGI:104778	Plcb3
MGI:104779	Prkdc
MGI:104781	Kcnj6
MGI:104783	Atxn1
MGI:104785	Myo6
MGI:104787	Skts2
MGI:104788	Skts1
MGI:104789	Iva2
MGI:104790	Smyd1
MGI:104792	Iva1
MGI:104793	Runx1t1
MGI:104794	Bis1
MGI:104795	Rmp4
MGI:104796	Ltb
MGI:104797	Lta
MGI:104798	Tnf
MGI:104799	Pea15a
MGI:104803	Siae
MGI:104807	Pls3
MGI:104808	Lcp1
MGI:104813	Jarid2
MGI:104814	Ier3
MGI:104816	Hnrnpl
MGI:104841	Cpox
MGI:104842	Coil
MGI:104847	Adora3
MGI:104848	Inpp1
MGI:104850	Cd55
MGI:104853	Hes1
MGI:104856	Rorc
MGI:104857	Ptcra
MGI:104860	Fxr1
MGI:104867	Lbx1
MGI:104870	mct1
MGI:104871	Ppp1cb
MGI:104872	Ppp1cc
MGI:104873	Aga
MGI:104874	Akt2
MGI:104875	Ltbr
MGI:104876	Hes5
MGI:104877	Hes3
MGI:104878	Prkar1a
MGI:104879	Pdcd1
MGI:104886	Gpx5
MGI:104887	Gpx1
MGI:104889	Ubp1
MGI:104890	Tpt1
MGI:104897	Rest
MGI:104900	Nup88
MGI:104902	Gpc4
MGI:104903	Gpc3
MGI:104904	Tead2
MGI:104905	Bc1
MGI:104908	Ptk2b
MGI:104913	Abi1
MGI:104961	Tnfaip1
MGI:104963	Npy1r
MGI:104965	Zp3r
MGI:104967	Glg1
MGI:104971	Srxn1
MGI:104975	Il1rap
MGI:104978	Cyp7b1
MGI:104979	Cnn1
MGI:104982	Cebpg
MGI:104987	Mxd3
MGI:104989	Rapop2
MGI:104990	Gclc
MGI:104993	Lepr
MGI:104994	Rapop3
MGI:104995	Gclm
MGI:105037	Ddx5
MGI:105043	Ahr
MGI:105046	Serpina3g
MGI:105049	P2ry1
MGI:105050	Mtf2
MGI:105051	Ksr1
MGI:105052	Il13ra1
MGI:105056	Cobl
MGI:105057	Cdh5
MGI:105058	Atp2a1
MGI:105059	Was
MGI:105061	Clcn2
MGI:105062	Amhr2
MGI:105064	Slc9a3
MGI:105068	Rab7
